ID,Nom,Latitude,Longitude,Altitude
7005,ABBEVILLE,50.136000,1.834000,69
7761,AJACCIO,41.918000,8.792667,5
7139,ALENCON,48.445500,0.110167,143
7299,BALE-MULHOUSE,47.614333,7.510000,263
7790,BASTIA,42.540667,9.485167,10
7207,BELLE ILE-LE TALUT,47.294333,-3.218333,34
7510,BORDEAUX-MERIGNAC,44.830667,-0.691333,47
7255,BOURGES,47.059167,2.359833,161
7110,BREST-GUIPAVAS,48.444167,-4.412000,94
7027,CAEN-CARPIQUET,49.180000,-0.456167,67
7661,CAP CEPET,43.079333,5.940833,115
81405,CAYENNE-MATOURY,4.822333,-52.365333,4
7460,CLERMONT-FD,45.786833,3.149333,331
61997,CROZET,-46.432500,51.856667,146
7280,DIJON-LONGVIC,47.267833,5.088333,219
89642,DUMONT D'URVILLE,-66.663167,140.001000,43
7591,EMBRUN,44.565667,6.502333,871
61972,EUROPA,-22.344167,40.340667,6
61980,GILLOT-AEROPORT,-20.892500,55.528667,8
61968,GLORIEUSES,-11.582667,47.289667,3
7535,GOURDON,44.745000,1.396667,260
61970,JUAN DE NOVA,-17.054667,42.712000,9
61998,KERGUELEN,-49.352333,70.243333,29
78890,LA DESIRADE METEO,16.335000,-61.004000,27
78925,LAMENTIN-AERO,14.595333,-60.995667,3
7471,LE PUY-LOUDES,45.074500,3.764000,833
78897,LE RAIZET AERO,16.264000,-61.516333,11
7015,LILLE-LESQUIN,50.570000,3.097500,47
7434,LIMOGES-BELLEGARDE,45.861167,1.175000,402
7481,LYON-ST EXUPERY,45.726500,5.077833,235
7650,MARIGNANE,43.437667,5.216000,9
81415,MARIPASOULA,3.640167,-54.028333,106
7558,MILLAU,44.118500,3.019500,712
7607,MONT-DE-MARSAN,43.909833,-0.500167,59
7577,MONTELIMAR,44.581167,4.733000,73
7643,MONTPELLIER,43.577000,3.963167,2
7181,NANCY-OCHEY,48.581000,5.959833,336
7222,NANTES-BOUGUENAIS,47.150000,-1.608833,26
7690,NICE,43.648833,7.209000,2
61996,NOUVELLE AMSTERDAM,-37.795167,77.569167,27
7149,ORLY,48.716833,2.384333,89
67005,PAMANDZI,-12.805500,45.282833,7
7747,PERPIGNAN,42.737167,2.872833,42
7117,PLOUMANAC'H,48.825833,-3.473167,55
7335,POITIERS-BIARD,46.593833,0.314333,123
7314,PTE DE CHASSIRON,46.046833,-1.411500,11
7020,PTE DE LA HAGUE,49.725167,-1.939833,6
7072,REIMS-PRUNAY,49.209667,4.155333,95
7130,RENNES-ST JACQUES,48.068833,-1.734000,36
7037,ROUEN-BOOS,49.383000,1.181667,151
81408,SAINT GEORGES,3.890667,-51.804667,6
81401,SAINT LAURENT,5.485500,-54.031667,5
7627,ST GIRONS,43.005333,1.106833,414
78894,ST-BARTHELEMY METEO,17.901500,-62.852167,44
71805,ST-PIERRE,46.766333,-56.179167,21
7190,STRASBOURG-ENTZHEIM,48.549500,7.640333,150
7621,TARBES-OSSUN,43.188000,0.000000,360
7630,TOULOUSE-BLAGNAC,43.621000,1.378833,151
7240,TOURS,47.444500,0.727333,108
78922,TRINITE-CARAVEL,14.774500,-60.875333,26
61976,TROMELIN,-15.887667,54.520667,7
7168,TROYES-BARBEREY,48.324667,4.020000,112
