Region;Communes;CP;Population;Altitude_min;Altitude_moy;Altitude_max;Superficie
Alsace;Ammerschwihr (68);68770;1 913;193;232;882;19.66
Alsace;Barr (67);67140;6 705;176;210;971;20.61
Alsace;Beblenheim (68);68980;954;180;220;274;5.61
Alsace;Bergheim (68);68750;1 860;172;210;733;19.16
Alsace;Cernay (68);68700;11 118;277;291;358;18.04
Alsace;Colmar (68);68000;66 560;175;198;214;66.57
Alsace;Dambach-la-Ville (67);67650;1 924;164;210;662;28.83
Alsace;Dorlisheim (67);67120;2 408;172;180;373;11.53
Alsace;Guebwiller (68);68500;11 658;254;270;620;9.68
Alsace;Hattstatt (68);68420;839;195;221;810;5.98
Alsace;Hunawihr (68);68150;612;228;285;686;4.81
Alsace;Ingersheim (68);68040;4 583;196;210;326;7.44
Alsace;Kientzheim (68);68240;786;220;221;662;4.83
Alsace;Molsheim (67);67120;9 331;165;175;371;10.85
Alsace;Obernai (67);67210;10 947;156;190;572;25.74
Alsace;Pfaffenheim (68);68250;1 336;196;230;843;14.57
Alsace;Ribeauvillé (68);68150;4 916;188;242;989;32.21
Alsace;Rouffach (68);68250;4 664;195;210;980;40.05
Alsace;Sigolsheim (68);68240;1 212;188;215;401;5.80
Alsace;Soultz-Haut-Rhin (68);68360;7 131;239;270;1 421;29.56
Alsace;Thann (68);68800;7 973;328;329;922;12.51
Alsace;Turckheim (68);68230;3 731;219;236;840;16.46
Alsace;Wettolsheim (68);68920;1 701;188;213;688;8.86
Alsace;Wintzenheim (68);68920;7 610;202;227;827;18.97
Alsace;Wissembourg (67);67160;7 978;133;170;527;48.18
Alsace;Wolxheim (67);67120;865;163;165;273;2.92
Beaujolais;Anse (69);69480;5 033;167;187;358;15.23
Beaujolais;Beaujeu (69);69430;1 997;277;300;880;17.85
Beaujolais;Belleville (69);69220;7 289;169;173;225;10.42
Beaujolais;Blacé (69);69460;1 339;218;300;732;11.00
Beaujolais;Cercié (69);69220;1 011;199;230;293;4.94
Beaujolais;Chânes (71);71570;523;196;247;264;2.24
Beaujolais;Charentay (69);69220;1 061;175;210;272;13.78
Beaujolais;Chénas (69);69840;469;215;270;515;8.18
Beaujolais;Chiroubles (69);69115;354;259;400;753;7.32
Beaujolais;Denicé (69);69640;1 254;215;280;393;9.53
Beaujolais;Emeringes (69);69840;226;249;360;624;3.01
Beaujolais;Fleurie (69);69820;1 234;210;300;524;13.94
Beaujolais;Gleizé (69);69400;7 766;181;230;292;10.46
Beaujolais;Juliénas (69);69840;804;217;270;655;7.56
Beaujolais;Jullié (69);69840;412;255;375;704;9.88
Beaujolais;L'Arbresle (69);69210;5 994;212;240;304;3.36
Beaujolais;La Chapelle-de-Guinchay (71);71570;3 446;168;200;295;12.44
Beaujolais;Lancié (69);69220;719;172;230;258;6.60
Beaujolais;Lantignié (69);69430;713;256;320;841;7.40
Beaujolais;Le Perréon (69);69460;1 394;253;300;783;14.58
Beaujolais;Les Ardillats (69);69430;539;334;440;1 004;23.10
Beaujolais;Leynes (71);71570;485;230;310;515;4.83
Beaujolais;Marchampt (69);69430;435;318;360;883;17.74
Beaujolais;Montmelas-Saint-Sorlin (69);69640;356;369;501;732;4.24
Beaujolais;Odenas (69);69460;747;232;320;622;9.02
Beaujolais;Pruzilly (71);71570;234;299;390;643;4.29
Beaujolais;Quincié-en-Beaujolais (69);69430;1 170;236;320;729;22.05
Beaujolais;Régnié-Durette (69);69430;971;228;320;820;11.72
Beaujolais;Rivolet (69);69640;542;296;325;866;16.30
Beaujolais;Romanèche-Thorins (71);71570;1 780;168;200;262;9.76
Beaujolais;Saint-Amour-Bellevue (71);71570;533;202;309;475;5.09
Beaujolais;Saint-Didier-sur-Beaujeu (69);69430;542;331;425;940;14.62
Beaujolais;Saint-Étienne-des-Oullières (69);69460;1 768;204;280;331;9.66
Beaujolais;Saint-Étienne-la-Varenne (69);69460;669;278;380;620;6.96
Beaujolais;Saint-Julien (69);69640;819;204;260;502;6.89
Beaujolais;Saint-Lager (69);69220;939;189;240;481;7.74
Beaujolais;Saint-Symphorien-d'Ancelles (71);71570;965;168;189;198;6.13
Beaujolais;Saint-Vérand (71);71570;183;220;270;475;2.45
Beaujolais;Salles-Arbuissonnas-en-Beaujolais (69);69460;747;247;300;429;4.35
Beaujolais;Vaux-en-Beaujolais (69);69460;977;270;380;820;17.74
Beaujolais;Vauxrenard (69);69820;306;294;500;844;19.19
Beaujolais;Villié-Morgon (69);69910;1 792;212;280;689;18.74
Bordeaux;Ambarès-et-Lagrave (33);33440;12 963;0;20;34;24.76
Bordeaux;Barsac (33);33720;1 962;3;10;21;14.48
Bordeaux;Bègles (33);33130;24 914;3;6;18;9.96
Bordeaux;Blanquefort (33);33290;15 113;0;27;39;33.72
Bordeaux;Blaye (33);33390;4 894;0;8;41;6.42
Bordeaux;Bordeaux (33);33300;235 178;1;16;42;49.36
Bordeaux;Bourg (33);33710;2 209;1;31;81;10.54
Bordeaux;Bruges (33);33520;13 605;1;20;31;14.22
Bordeaux;Cadillac (33);33410;2 435;3;10;92;5.44
Bordeaux;Castillon-la-Bataille (33);33350;3 181;2;20;104;5.68
Bordeaux;Cenon (33);33150;22 732;3;9;75;5.52
Bordeaux;Cestas (33);33610;16 658;33;41;67;99.57
Bordeaux;Eysines (33);33320;19 207;3;26;45;12.01
Bordeaux;Fargues (33);33210;1 568;18;60;88;15.41
Bordeaux;Floirac (33);33270;15 794;3;70;79;8.67
Bordeaux;Fronsac (33);33126;1 043;1;10;84;15.29
Bordeaux;Gradignan (33);33170;23 096;10;36;51;15.77
Bordeaux;Grézillac (33);33420;677;3;70;83;7.79
Bordeaux;Le Bouscat (33);33110;23 334;2;10;27;5.28
Bordeaux;Léognan (33);33850;8 967;13;35;62;41.43
Bordeaux;Libourne (33);33500;23 471;2;10;28;20.63
Bordeaux;Listrac-Médoc (33);33480;2 185;9;39;44;61.90
Bordeaux;Lormont (33);33310;20 636;2;50;63;7.36
Bordeaux;Loupiac (33);33410;968;3;16;108;9.57
Bordeaux;Lussac (33);33570;1 316;22;70;84;23.43
Bordeaux;Marcillac (33);33860;1 107;7;50;82;32.23
Bordeaux;Margaux (33);33460;1 423;1;16;23;7.36
Bordeaux;Mérignac (33);33700;66 002;12;35;53;48.17
Bordeaux;Montagne (33);33570;1 689;18;70;97;26.66
Bordeaux;Moulis-en-Médoc (33);33480;1 655;6;19;42;20.56
Bordeaux;Naujan-et-Postiac (33);33420;498;6;59;91;11.10
Bordeaux;Pessac (33);33600;57 851;12;26;56;38.82
Bordeaux;Pomerol (33);33500;743;7;36;39;6.24
Bordeaux;Saint-Émilion (33);33330;2 090;3;70;107;27.02
Bordeaux;Saint-Estèphe (33);33180;1 698;0;15;31;23.54
Bordeaux;Saint-Médard-en-Jalles (33);33160;27 243;9;20;48;85.28
Bordeaux;Sainte-Croix-du-Mont (33);33410;850;1;80;118;8.98
Bordeaux;Sainte-Foy-la-Grande (33);33220;2 560;7;20;20;0.51
Bordeaux;Sauternes (33);33210;693;13;50;89;11.32
Bordeaux;Sauveterre-de-Guyenne (33);33540;1 778;38;80;107;31.75
Bordeaux;Talence (33);33400;40 940;9;20;31;8.35
Bordeaux;Villenave-d'Ornon (33);33140;29 339;3;10;41;21.26
Bourgogne;Aloxe-Corton (21);21420;180;218;250;360;2.63
Bourgogne;Auxerre (89);89000;37 218;93;120;217;49.95
Bourgogne;Auxey-Duresses (21);21190;337;245;270;482;11.09
Bourgogne;Beaune (21);21200;22 012;193;220;407;31.30
Bourgogne;Beine (89);89800;473;136;200;292;21.57
Bourgogne;Buxy (71);71390;2 160;186;250;428;11.92
Bourgogne;Chablis (89);89800;2 472;126;140;311;38.83
Bourgogne;Chambolle-Musigny (21);21220;307;238;280;445;7.57
Bourgogne;Chardonnay (71);71700;169;220;230;375;6.37
Bourgogne;Charnay-lès-Mâcon (71);71850;6 831;179;272;310;12.56
Bourgogne;Chassagne-Montrachet (21);21190;394;209;250;410;6.50
Bourgogne;Chenôve (21);21300;14 841;238;280;392;7.42
Bourgogne;Chitry (89);89530;342;169;200;346;15.20
Bourgogne;Chorey-les-Beaune (21);21200;472;199;220;245;5.59
Bourgogne;Clessé (71);71260;815;200;250;326;10.06
Bourgogne;Coulanges-la-Vineuse (89);89580;932;115;190;292;10.59
Bourgogne;Dijon (21);21000;151 543;220;245;410;40.41
Bourgogne;Epineuil (89);89700;619;139;170;307;6.21
Bourgogne;Fixin (21);21220;758;230;295;565;10.12
Bourgogne;Fuissé (71);71960;326;210;250;420;4.86
Bourgogne;Gevrey-Chambertin (21);21220;3 120;212;280;510;24.77
Bourgogne;Givry (71);71640;3 678;181;220;447;26.03
Bourgogne;Joigny (89);89300;10 605;74;100;252;46.67
Bourgogne;Mâcon (71);71870;33 865;167;190;347;27.04
Bourgogne;Marcenay (21);21330;114;206;219;273;9.49
Bourgogne;Marsannay-la-Côte (21);21160;5 158;238;271;477;12.85
Bourgogne;Mercurey (71);71640;1 313;206;260;391;15.44
Bourgogne;Meursault (21);21190;1 563;199;240;458;16.22
Bourgogne;Monthelie (21);21190;176;251;290;386;3.14
Bourgogne;Morey-Saint-Denis (21);21220;696;222;270;472;7.83
Bourgogne;Nuits-Saint-Georges (21);21700;5 414;224;244;516;20.50
Bourgogne;Pernand-Vergelesses (21);21420;276;238;300;435;5.59
Bourgogne;Pommard (21);21630;546;215;250;411;10.05
Bourgogne;Puligny-Montrachet (21);21190;426;200;230;435;7.28
Bourgogne;Rully (71);71150;1 578;194;240;407;15.61
Bourgogne;Saint-Aubin (21);21190;269;240;300;485;9.42
Bourgogne;Santenay (21);21590;839;211;230;522;10.36
Bourgogne;Savigny-lès-Beaune (21);21420;1 373;229;268;577;35.98
Bourgogne;Talant (21);21240;11 778;243;360;405;4.90
Bourgogne;Tonnerre (89);89700;5 274;129;150;323;58.27
Bourgogne;Vézelay (89);89450;478;170;300;339;21.83
Bourgogne;Vinzelles (71);71680;747;170;220;303;4.43
Bourgogne;Viré (71);71260;1 070;177;230;441;11.28
Bourgogne;Volnay (21);21190;292;209;290;393;7.55
Bourgogne;Vosne-Romanée (21);21700;436;217;250;400;3.69
Bourgogne;Vougeot (21);21640;209;233;250;275;0.88
ChampagneCognac;Ambonnay (51);51150;945;86;100;282;11.80
ChampagneCognac;Avize (51);51190;1 615;100;151;246;7.62
ChampagneCognac;Ay (51);51160;4 175;68;80;267;10.43
ChampagneCognac;Bouzy (51);51150;956;103;120;268;6.26
ChampagneCognac;Châlons-en-Champagne (51);51000;45 829;79;85;153;26.05
ChampagneCognac;Château-Thierry (02);02400;14 794;59;80;222;16.55
ChampagneCognac;Chouilly (51);51200;993;68;80;240;16.12
ChampagneCognac;Cramant (51);51200;894;105;200;246;5.37
ChampagneCognac;Dizy (51);51200;1 692;69;90;250;3.23
ChampagneCognac;Epernay (51);51200;24 591;68;80;251;22.69
ChampagneCognac;Hautvillers (51);51160;800;68;190;274;11.77
